,학제별,설립별,대학명,입학정원 합(명),평균 입학금(천원),평균등록금(천원),등록금순위(설립별),등록금순위(10개대)
1,대학,사립,연세대학교,20216,8685.8 ,8930.4,2.0,1.0
6,대학,사립,한양대학교,18928,10719.4 ,8473.4,7.0,2.0
8,대학,사립,성균관대학교,13662,3545.9 ,8386.2,9.0,3.0
11,대학,사립,고려대학교,20912,8571.2 ,8283.3,12.0,4.0
19,대학,사립,중앙대학교,17976,7913.4 ,8083.1,20.0,5.0
22,대학,사립,서강대학교,6296,5092.8 ,7947.4,23.0,6.0
24,대학,사립,경희대학교,19686,8439.9 ,7935.4,25.0,7.0
83,대학,사립,한국외국어대학교,13508,11811.1 ,7130.0,84.0,8.0
143,대학,국공립,서울대학교,13148,0.0 ,6011.8,3.0,9.0
208,대학,국공립,서울시립대학교,6826,0.0 ,2392.1,44.0,10.0
